city,site_id,name,longitude,latitude,live,avg,cityID,stateID,org
Moradabad,site_5613,"Transport Nagar, Moradabad - UPPCB",78.753728,28.802625,TRUE,86,Moradabad,Uttar Pradesh,DPCC
Moradabad,site_5555,"Jigar Colony, Moradabad - UPPCB",78.772638,28.856664,TRUE,97,Moradabad,Uttar Pradesh,DPCC
Motihari,site_5478,"Gandak Colony, Motihari - BSPCB",84.90051,26.63086,FALSE,,Motihari,Bihar,DPCC
Mumbai,site_5115,"Worli, Mumbai - MPCB",72.8128113,18.9936162,FALSE,,Mumbai,Maharashtra,IMD
Mumbai,site_5398,"Navy Nagar-Colaba, Mumbai - IITM",72.81332,18.897756,TRUE,91,Mumbai,Maharashtra,DPCC
Mumbai,site_5403,"Siddharth Nagar-Worli, Mumbai - IITM",72.813993,19.000083,FALSE,,Mumbai,Maharashtra,IMD
Mumbai,site_5120,"Colaba, Mumbai - MPCB",72.82,18.91,TRUE,68,Mumbai,Maharashtra,DPCC
Mumbai,site_5102,"Vasai West, Mumbai - MPCB",72.8204,19.3832,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5402,"Malad West, Mumbai - IITM",72.82204,19.19709,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5807,"Mindspace-Malad West, Mumbai - MPCB",72.8304069,19.1878657,FALSE,,Mumbai,Maharashtra,IMD
Mumbai,site_5962,"Kandivali West, Mumbai - BMC",72.831718,19.215859,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5106,"Vile Parle West, Mumbai - MPCB",72.83622,19.10861,TRUE,127,Mumbai,Maharashtra,DPCC
Mumbai,site_5960,"Byculla, Mumbai - BMC",72.838,18.9767,TRUE,52,Mumbai,Maharashtra,IMD
Mumbai,site_5394,"Mazgaon, Mumbai - IITM",72.84214,18.96702,TRUE,84,Mumbai,Maharashtra,DPCC
Mumbai,site_5814,"Kherwadi_Bandra East, Mumbai - MPCB",72.8456324,19.0632143,TRUE,95,Mumbai,Maharashtra,IMD
Mumbai,site_168,"Bandra, Mumbai - MPCB",72.84614,19.0627,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5392,"Bandra Kurla Complex, Mumbai - IITM",72.84643,19.053536,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5963,"Sewri, Mumbai - BMC",72.85673,19.000084,FALSE,,Mumbai,Maharashtra,IMD
Mumbai,site_5399,"Chakala-Andheri East, Mumbai - IITM",72.86084,19.11074,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5810,"Bandra Kurla Complex, Mumbai - MPCB",72.862131,19.065931,TRUE,111,Mumbai,Maharashtra,IMD
Mumbai,site_5113,"Borivali East, Mumbai - MPCB",72.8658113,19.2243333,TRUE,81,Mumbai,Maharashtra,IMD
Mumbai,site_5412,"Kandivali East, Mumbai - MPCB",72.8682,19.2058,TRUE,109,Mumbai,Maharashtra,DPCC
Mumbai,site_5400,"Borivali East, Mumbai - IITM",72.86895,19.23241,TRUE,102,Mumbai,Maharashtra,DPCC
Mumbai,site_5119,"Sion, Mumbai - MPCB",72.8746,19.047,TRUE,110,Mumbai,Maharashtra,DPCC
Mumbai,site_5107,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",72.87462,19.10078,TRUE,88,Mumbai,Maharashtra,DPCC
Mumbai,site_5104,"Kurla, Mumbai - MPCB",72.8888,19.0863,TRUE,107,Mumbai,Maharashtra,DPCC
Mumbai,site_5811,"Chembur, Mumbai - MPCB",72.8954371,19.0364585,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5112,"Powai, Mumbai - MPCB",72.915056,19.1375,TRUE,112,Mumbai,Maharashtra,IMD
Mumbai,site_5964,"Ghatkopar, Mumbai - BMC",72.920967,19.083694,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5397,"Khindipada-Bhandup West, Mumbai - IITM",72.922099,19.1653323,FALSE,,Mumbai,Maharashtra,DPCC
Mumbai,site_5396,"Deonar, Mumbai - IITM",72.923,19.04946,FALSE,,Mumbai,Maharashtra,IMD
Mumbai,site_5961,"Shivaji Nagar, Mumbai - BMC",72.923356,19.060498,TRUE,90,Mumbai,Maharashtra,IMD
Mumbai,site_5413,"Mulund West, Mumbai - MPCB",72.9419,19.175,TRUE,181,Mumbai,Maharashtra,DPCC
Munger,site_5490,"Town Hall, Munger - BSPCB",86.471523,25.376776,FALSE,,Munger,Bihar,MPCB
Muzaffarnagar,site_1550,"New Mandi, Muzaffarnagar - UPPCB",77.7194031,29.4723508,TRUE,139,Muzaffarnagar,Uttar Pradesh,KSPCB
Muzaffarpur,site_158,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",85.3647,26.1209,FALSE,,Muzaffarpur,Bihar,DPCC
Muzaffarpur,site_5479,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",85.3650192,26.1403345,FALSE,,Muzaffarpur,Bihar,DPCC
Muzaffarpur,site_5370,"Buddha Colony, Muzaffarpur - BSPCB",85.39813,26.11442,FALSE,,Muzaffarpur,Bihar,DPCC
Mysuru,site_5125,"Hebbal 1st Stage, Mysuru - KSPCB",76.37376,12.21041,TRUE,45,Mysuru,Karnataka,IITM
Nagaon,site_5706,"Christianpatty, Nagaon - PCBA",92.68449,26.349082,TRUE,73,Nagaon,Assam,KSPCB
Nagaur,site_5778,"Karni Colony, Nagaur - RSPCB",73.734444,27.213494,TRUE,120,Nagaur,Rajasthan,KSPCB
Nagpur,site_5793,"Ram Nagar, Nagpur - MPCB",79.048912,21.143383,FALSE,,Nagpur,Maharashtra,DPCC
Nagpur,site_5792,"Ambazari, Nagpur - MPCB",79.04952,21.121801,TRUE,89,Nagpur,Maharashtra,DPCC
Nagpur,site_303,"Opp GPO Civil Lines, Nagpur - MPCB",79.0517531,21.152875,TRUE,80,Nagpur,Maharashtra,DPCC
Nagpur,site_5796,"Mahal, Nagpur - MPCB",79.107595,21.14472,TRUE,107,Nagpur,Maharashtra,DPCC
Naharlagun,site_5446,"Naharlagun, Naharlagun - APSPCB",93.679645,27.103358,FALSE,,Naharlagun,Arunachal Pradesh,KSPCB
Nalbari,site_5668,"Bata Chowk, Nalbari - PCBA",91.439057,26.446912,TRUE,57,Nalbari,Assam,IITM
Nanded,site_5795,"Sneh Nagar, Nanded - MPCB",77.296291,19.173852,TRUE,100,Nanded,Maharashtra,DPCC
Nandesari,site_5274,"GIDC, Nandesari - Nandesari Ind. Association",73.097923,22.410802,FALSE,,Nandesari,Gujarat,IITM
Narnaul,site_5053,"Shastri Nagar, Narnaul - HSPCB",76.113115,28.060249,TRUE,63,Narnaul,Haryana,IITM
Nashik,site_5781,"MIDC Ambad, Nashik - MPCB",73.73148,19.95022,TRUE,74,Nashik,Maharashtra,TSPCB
Nashik,site_304,"Gangapur Road, Nashik - MPCB",73.7762427,20.0073285,TRUE,66,Nashik,Maharashtra,TSPCB
Nashik,site_5779,"Pandav Nagari, Nashik - MPCB",73.7788008,19.9591346,TRUE,87,Nashik,Maharashtra,TSPCB
Nashik,site_5782,"Hirawadi, Nashik - MPCB",73.813844,20.021503,TRUE,73,Nashik,Maharashtra,TSPCB
Navi Mumbai,site_261,"Airoli, Navi Mumbai - MPCB",72.9986,19.1494,FALSE,,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5114,"Mahape, Navi Mumbai - MPCB",73.008978,19.1135051,FALSE,,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5805,"Kopripada-Vashi, Navi Mumbai - MPCB",73.014232,19.090337,TRUE,136,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5815,"Sanpada, Navi Mumbai - MPCB",73.0151367,19.0575752,TRUE,79,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5103,"Nerul, Navi Mumbai - MPCB",73.01662,19.008751,TRUE,141,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5401,"Sector-19A Nerul, Navi Mumbai - IITM",73.0325,19.044,TRUE,79,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5799,"Sector-2E Kalamboli, Navi Mumbai - MPCB",73.10297,19.02579,TRUE,96,Navi Mumbai,Maharashtra,DPCC
Navi Mumbai,site_5803,"Tondare-Taloja, Navi Mumbai - MPCB",73.1209,19.063,TRUE,113,Navi Mumbai,Maharashtra,DPCC
Nayagarh,site_5674,"Dabuna, Nayagarh - OSPCB",85.416905,21.847279,FALSE,,Nayagarh,Odisha,KSPCB
Noida,site_5123,"Sector-1, Noida - UPPCB",77.3101,28.5898,TRUE,165,Noida,Uttar Pradesh,KSPCB
Noida,site_153,"Sector - 125, Noida - UPPCB",77.3231257,28.5447608,TRUE,129,Noida,Uttar Pradesh,KSPCB
Noida,site_111,"Sector - 62, Noida - IMD",77.3577104,28.6245479,TRUE,162,Noida,Uttar Pradesh,KSPCB
Noida,site_5122,"Sector-116, Noida - UPPCB",77.393848,28.56923,TRUE,152,Noida,Uttar Pradesh,KSPCB
Ooty,site_5624,"Bombay Castel, Ooty - TNPCB",76.7138973,11.4068288,FALSE,,Ooty,Tamil Nadu,KSPCB
Pali,site_1395,"Indira Colony Vistar, Pali - RSPCB",73.340227,25.771061,TRUE,112,Pali,Rajasthan,DPCC
Palkalaiperur,site_5626,"Bharathidasan University, Palkalaiperur - TNPCB",78.741746,10.681158,TRUE,24,Palkalaiperur,Tamil Nadu,TSPCB
Palwal,site_5050,"Shyam Nagar, Palwal - HSPCB",77.3320667,28.1485564,TRUE,107,Palwal,Haryana,HSPCB
Panchkula,site_161,"Sector-6, Panchkula - HSPCB ",76.85318056,30.7057778,FALSE,,Panchkula,Haryana,KSPCB
Panipat,site_5048,"Sector-18, Panipat - HSPCB",76.993331,29.497973,TRUE,82,Panipat,Haryana,IITM
Parbhani,site_5794,"Masoom Colony, Parbhani - MPCB",76.761463,19.265594,TRUE,108,Parbhani,Maharashtra,KSPCB
Pathardih,site_5832,"Mohalbani Ghat, Pathardih - DMC",86.411725,23.66988,FALSE,,Pathardih,Jharkhand,IITM
Patiala,site_1437,"Model Town, Patiala - PPCB",76.366642,30.349388,TRUE,72,Patiala,Punjab,KSPCB
Patna,site_5336,"DRM Office Danapur, Patna - BSPCB",85.043586,25.586562,FALSE,,Patna,Bihar,TSPCB
Patna,site_5263,"Samanpura, Patna - BSPCB",85.085624,25.596727,TRUE,273,Patna,Bihar,TSPCB
Patna,site_5262,"Rajbansi Nagar, Patna - BSPCB",85.113666,25.599486,FALSE,,Patna,Bihar,TSPCB
Patna,site_157,"IGSC Planetarium Complex, Patna - BSPCB",85.132568,25.610369,FALSE,,Patna,Bihar,TSPCB
Patna,site_5261,"Muradpur, Patna - BSPCB",85.147382,25.619651,FALSE,,Patna,Bihar,TSPCB
Patna,site_5335,"Govt. High School Shikarpur, Patna - BSPCB",85.227158,25.592539,FALSE,,Patna,Bihar,TSPCB
Pimpri-Chinchwad,site_5765,"Thergaon, Pimpri Chinchwad - MPCB",73.765797,18.616318,FALSE,,Pimpri-Chinchwad,Maharashtra,IMD
Pimpri-Chinchwad,site_5764,"Park Street Wakad, Pimpri Chinchwad - MPCB",73.77946,18.59051,TRUE,101,Pimpri-Chinchwad,Maharashtra,IMD
Pimpri-Chinchwad,site_5763,"Gavalinagar, Pimpri Chinchwad - MPCB",73.82487,18.63673,TRUE,91,Pimpri-Chinchwad,Maharashtra,IMD
Pithampur,site_1402,"Sector-2 Industrial Area, Pithampur - MPPCB",75.675238,22.624758,TRUE,116,Pithampur,Madhya Pradesh,HSPCB
Pratapgarh,site_5721,"Pragati Nagar, Pratapgarh - RSPCB",74.780702,24.041198,TRUE,112,Pratapgarh,Rajasthan,DPCC
Prayagraj,site_5484,"Nagar Nigam, Prayagraj - UPPCB",81.82735986,25.44919916,TRUE,123,Prayagraj,Uttar Pradesh,CPCB
Prayagraj,site_5459,"Motilal Nehru NIT, Prayagraj - UPPCB",81.863,25.494,TRUE,100,Prayagraj,Uttar Pradesh,CPCB
Prayagraj,site_5461,"Jhunsi, Prayagraj - UPPCB",81.917152,25.425602,TRUE,107,Prayagraj,Uttar Pradesh,CPCB
Puducherry,site_5423,"Jawahar Nagar, Puducherry - PPCC",79.8027,11.9309,TRUE,22,Puducherry,Puducherry,IMD
Pune,site_5408,"Transport Nagar-Nigdi, Pune - IITM",73.763966,18.664282,FALSE,,Pune,Maharashtra,DPCC
Pune,site_292,"Karve Road, Pune - MPCB",73.8165527,18.5011743,TRUE,120,Pune,Maharashtra,DPCC
Pune,site_5410,"MIT-Kothrud, Pune - IITM",73.8214883,18.517754,FALSE,,Pune,Maharashtra,DPCC
Pune,site_5767,"Savitribai Phule Pune University, Pune - MPCB",73.826908,18.547056,TRUE,105,Pune,Maharashtra,DPCC
Pune,site_5406,"Bhosari, Pune - IITM",73.848956,18.640051,TRUE,93,Pune,Maharashtra,DPCC
Pune,site_5409,"Revenue Colony-Shivajinagar, Pune - IITM",73.849598,18.530085,TRUE,59,Pune,Maharashtra,DPCC
Pune,site_5766,"Katraj Dairy, Pune - MPCB",73.854155,18.45445,TRUE,77,Pune,Maharashtra,DPCC
Pune,site_5405,"Alandi, Pune - IITM",73.892743,18.675076,FALSE,,Pune,Maharashtra,DPCC
Pune,site_5407,"Hadapsar, Pune - IITM",73.927532,18.501793,FALSE,,Pune,Maharashtra,DPCC
Pune,site_5404,"Mhada Colony, Pune - IITM",73.927715,18.57304,FALSE,,Pune,Maharashtra,DPCC
