,timestamp,site_id,site_name,year,NO2,NO2_CPCB,Percent_Coverage,prevalent_error,pollutant
51,35040.0,site_5119,Sion_Mumbai_MPCB,2022,29178.0,23406.0,66.79794520547945,C2,"PM25,PM10,NO2,Ozone"
52,35040.0,site_5119,Sion_Mumbai_MPCB,2023,31824.0,25050.0,71.48972602739725,C2,"PM25,PM10,NO2,Ozone"
53,35040.0,site_5120,Colaba_Mumbai_MPCB,2019,15383.0,12199.0,34.81449771689498,C2,"PM25,PM10,NO2,Ozone"
54,35136.0,site_5120,Colaba_Mumbai_MPCB,2020,24356.0,18301.0,52.08617941712204,C2,"PM25,PM10,NO2,Ozone"
55,35040.0,site_5120,Colaba_Mumbai_MPCB,2021,18268.0,14386.0,41.055936073059364,C2,"PM25,PM10,NO2,Ozone"
56,35040.0,site_5120,Colaba_Mumbai_MPCB,2022,24836.0,19374.0,55.29109589041096,C2,"PM25,PM10,NO2,Ozone"
57,35040.0,site_5120,Colaba_Mumbai_MPCB,2023,15675.0,7868.0,22.45433789954338,C2,"PM25,PM10,NO2,Ozone"
58,35136.0,site_5392,Bandra_Kurla_Complex_Mumbai_IITM,2020,4622.0,3952.0,11.247723132969034,C2,"PM25,PM10,NO2,Ozone"
59,35040.0,site_5392,Bandra_Kurla_Complex_Mumbai_IITM,2021,20054.0,16758.0,47.82534246575342,C1,"PM25,PM10,NO2,Ozone"
60,35040.0,site_5392,Bandra_Kurla_Complex_Mumbai_IITM,2022,26267.0,7126.0,20.33675799086758,C1,"PM25,PM10,NO2,Ozone"
61,35040.0,site_5392,Bandra_Kurla_Complex_Mumbai_IITM,2023,23914.0,13666.0,39.00114155251141,C1,"PM25,PM10,NO2,Ozone"
62,35136.0,site_5394,Mazgaon_Mumbai_IITM,2020,4736.0,3867.0,11.005806010928962,C2,"PM25,PM10,NO2,Ozone"
63,35040.0,site_5394,Mazgaon_Mumbai_IITM,2021,32914.0,25228.0,71.99771689497717,C2,"PM25,PM10,NO2,Ozone"
64,35040.0,site_5394,Mazgaon_Mumbai_IITM,2022,26924.0,19803.0,56.51541095890411,C2,"PM25,PM10,NO2,Ozone"
65,35040.0,site_5394,Mazgaon_Mumbai_IITM,2023,28978.0,23225.0,66.28139269406392,C2,"PM25,PM10,NO2,Ozone"
66,35136.0,site_5396,Deonar_Mumbai_IITM,2020,4504.0,3611.0,10.277208561020036,C6,"PM25,PM10,NO2,Ozone"
